CL	CL_plane	Name_identical	Related	Merged	Naked_merged
MOLP-8_EGA	MOLP8	MOLP8_CCLE,MOLP-8_COSMIC,MOLP-8_EGA,MOLP-8_GDC		MOLP8_CCLE,MOLP-8_COSMIC,MOLP-8_EGA,MOLP-8_GDC	MOLP8
MOLP-8_GDC	MOLP8	MOLP8_CCLE,MOLP-8_COSMIC,MOLP-8_EGA,MOLP-8_GDC		MOLP8_CCLE,MOLP-8_COSMIC,MOLP-8_EGA,MOLP-8_GDC	MOLP8
MOLT13_CCLE	MOLT13	MOLT13_CCLE,MOLT-13_COSMIC,MOLT-13_GDC		MOLT13_CCLE,MOLT-13_COSMIC,MOLT-13_GDC	MOLT13
MOLT-13_COSMIC	MOLT13	MOLT13_CCLE,MOLT-13_COSMIC,MOLT-13_GDC		MOLT13_CCLE,MOLT-13_COSMIC,MOLT-13_GDC	MOLT13
MOLT-13_GDC	MOLT13	MOLT13_CCLE,MOLT-13_COSMIC,MOLT-13_GDC		MOLT13_CCLE,MOLT-13_COSMIC,MOLT-13_GDC	MOLT13
MOLT16_CCLE	MOLT16	MOLT16_CCLE,MOLT-16_COSMIC,MOLT-16_GDC		MOLT16_CCLE,MOLT-16_COSMIC,MOLT-16_GDC	MOLT16
MOLT-16_COSMIC	MOLT16	MOLT16_CCLE,MOLT-16_COSMIC,MOLT-16_GDC		MOLT16_CCLE,MOLT-16_COSMIC,MOLT-16_GDC	MOLT16
MOLT-16_GDC	MOLT16	MOLT16_CCLE,MOLT-16_COSMIC,MOLT-16_GDC		MOLT16_CCLE,MOLT-16_COSMIC,MOLT-16_GDC	MOLT16
MOLT-3_GDC	MOLT3	MOLT-3_GDC		MOLT-3_GDC	MOLT3
MOLT_4_CELLMINER	MOLT4	MOLT_4_CELLMINER,MOLT-4_COSMIC		MOLT_4_CELLMINER,MOLT-4_COSMIC	MOLT4
MOLT-4_COSMIC	MOLT4	MOLT_4_CELLMINER,MOLT-4_COSMIC		MOLT_4_CELLMINER,MOLT-4_COSMIC	MOLT4
MONOMAC1_CCLE	MONOMAC1	MONOMAC1_CCLE,MONO-MAC-1_GDC	MONOMAC6_CCLE,MONOMAC6_COSMIC,MONOMAC6_GDC	MONOMAC1_CCLE,MONO-MAC-1_GDC,MONOMAC6_CCLE,MONOMAC6_COSMIC,MONOMAC6_GDC	MONOMAC1,MONOMAC6
MONO-MAC-1_GDC	MONOMAC1	MONOMAC1_CCLE,MONO-MAC-1_GDC	MONOMAC6_CCLE,MONOMAC6_COSMIC,MONOMAC6_GDC	MONOMAC1_CCLE,MONO-MAC-1_GDC,MONOMAC6_CCLE,MONOMAC6_COSMIC,MONOMAC6_GDC	MONOMAC1,MONOMAC6
MONOMAC6_CCLE	MONOMAC6	MONOMAC6_CCLE,MONO-MAC-6_COSMIC,MONO-MAC-6_GDC	MONOMAC1_CCLE,MONOMAC1_GDC	MONOMAC1_CCLE,MONOMAC1_GDC,MONOMAC6_CCLE,MONO-MAC-6_COSMIC,MONO-MAC-6_GDC	MONOMAC1,MONOMAC6
MONO-MAC-6_COSMIC	MONOMAC6	MONOMAC6_CCLE,MONO-MAC-6_COSMIC,MONO-MAC-6_GDC	MONOMAC1_CCLE,MONOMAC1_GDC	MONOMAC1_CCLE,MONOMAC1_GDC,MONOMAC6_CCLE,MONO-MAC-6_COSMIC,MONO-MAC-6_GDC	MONOMAC1,MONOMAC6
MONO-MAC-6_GDC	MONOMAC6	MONOMAC6_CCLE,MONO-MAC-6_COSMIC,MONO-MAC-6_GDC	MONOMAC1_CCLE,MONOMAC1_GDC	MONOMAC1_CCLE,MONOMAC1_GDC,MONOMAC6_CCLE,MONO-MAC-6_COSMIC,MONO-MAC-6_GDC	MONOMAC1,MONOMAC6
MORCPR_CCLE	MORCPR	MORCPR_CCLE,MOR_CPR_GDC		MORCPR_CCLE,MOR_CPR_GDC	MORCPR
MOR_CPR_GDC	MORCPR	MORCPR_CCLE,MOR_CPR_GDC		MORCPR_CCLE,MOR_CPR_GDC	MORCPR
MOR_EGA	MOR	MOR_EGA		MOR_EGA	MOR
MO-T_COSMIC	MOT	MO-T_COSMIC		MO-T_COSMIC	MOT
MOTN1_CCLE	MOTN1	MOTN1_CCLE		MOTN1_CCLE	MOTN1
MPP89_CCLE	MPP89	MPP89_CCLE,MPP-89_COSMIC,MPP_89_GDC		MPP89_CCLE,MPP-89_COSMIC,MPP_89_GDC	MPP89
MPP-89_COSMIC	MPP89	MPP89_CCLE,MPP-89_COSMIC,MPP_89_GDC		MPP89_CCLE,MPP-89_COSMIC,MPP_89_GDC	MPP89
MPP_89_GDC	MPP89	MPP89_CCLE,MPP-89_COSMIC,MPP_89_GDC		MPP89_CCLE,MPP-89_COSMIC,MPP_89_GDC	MPP89
MRK-NU-1_COSMIC	MRKNU1	MRK-NU-1_COSMIC		MRK-NU-1_COSMIC	MRKNU1
MS-1_COSMIC	MS1	MS-1_COSMIC		MS-1_COSMIC	MS1
MS751_COSMIC	MS751	MS751_COSMIC,MS751_EGA		MS751_COSMIC,MS751_EGA	MS751
MS751_EGA	MS751	MS751_COSMIC,MS751_EGA		MS751_COSMIC,MS751_EGA	MS751
MSTO211H_CCLE	MSTO211H	MSTO211H_CCLE,MSTO-211H_COSMIC,MSTO-211H_GDC		MSTO211H_CCLE,MSTO-211H_COSMIC,MSTO-211H_GDC	MSTO211H
MSTO-211H_COSMIC	MSTO211H	MSTO211H_CCLE,MSTO-211H_COSMIC,MSTO-211H_GDC		MSTO211H_CCLE,MSTO-211H_COSMIC,MSTO-211H_GDC	MSTO211H
MSTO-211H_GDC	MSTO211H	MSTO211H_CCLE,MSTO-211H_COSMIC,MSTO-211H_GDC		MSTO211H_CCLE,MSTO-211H_COSMIC,MSTO-211H_GDC	MSTO211H
MT-3_EGA	MT3	MT-3_EGA		MT-3_EGA	MT3
MUTZ3_CCLE	MUTZ3	MUTZ3_CCLE,MUTZ-3_GDC		MUTZ3_CCLE,MUTZ-3_GDC	MUTZ3
MUTZ-3_GDC	MUTZ3	MUTZ3_CCLE,MUTZ-3_GDC		MUTZ3_CCLE,MUTZ-3_GDC	MUTZ3
MUTZ5_CCLE	MUTZ5	MUTZ5_CCLE,MUTZ-5_GDC		MUTZ5_CCLE,MUTZ-5_GDC	MUTZ5
MUTZ-5_GDC	MUTZ5	MUTZ5_CCLE,MUTZ-5_GDC		MUTZ5_CCLE,MUTZ-5_GDC	MUTZ5
MV411_CCLE	MV411	MV411_CCLE,MV-4-11_COSMIC,MV-4-11_EGA,MV-4-11_GDC		MV411_CCLE,MV-4-11_COSMIC,MV-4-11_EGA,MV-4-11_GDC	MV411
MV-4-11_COSMIC	MV411	MV411_CCLE,MV-4-11_COSMIC,MV-4-11_EGA,MV-4-11_GDC		MV411_CCLE,MV-4-11_COSMIC,MV-4-11_EGA,MV-4-11_GDC	MV411
MV-4-11_EGA	MV411	MV411_CCLE,MV-4-11_COSMIC,MV-4-11_EGA,MV-4-11_GDC		MV411_CCLE,MV-4-11_COSMIC,MV-4-11_EGA,MV-4-11_GDC	MV411
MV-4-11_GDC	MV411	MV411_CCLE,MV-4-11_COSMIC,MV-4-11_EGA,MV-4-11_GDC		MV411_CCLE,MV-4-11_COSMIC,MV-4-11_EGA,MV-4-11_GDC	MV411
MX-1_EGA	MX1	MX-1_EGA		MX-1_EGA	MX1
MY-M12_COSMIC	MYM12	MY-M12_COSMIC		MY-M12_COSMIC	MYM12
MZ1-PC_COSMIC	MZ1PC	MZ1-PC_COSMIC		MZ1-PC_COSMIC	MZ1PC
MZ2-MEL_COSMIC	MZ2MEL	MZ2-MEL_COSMIC		MZ2-MEL_COSMIC	MZ2MEL
MZ7-MEL_COSMIC	MZ7MEL	MZ7-MEL_COSMIC		MZ7-MEL_COSMIC	MZ7MEL
NALM19_CCLE	NALM19	NALM19_CCLE,NALM-19_GDC		NALM19_CCLE,NALM-19_GDC	NALM19
NALM-19_GDC	NALM19	NALM19_CCLE,NALM-19_GDC		NALM19_CCLE,NALM-19_GDC	NALM19
NALM1_CCLE	NALM1	NALM1_CCLE,NALM-1_GDC		NALM1_CCLE,NALM-1_GDC	NALM1
NALM-1_GDC	NALM1	NALM1_CCLE,NALM-1_GDC		NALM1_CCLE,NALM-1_GDC	NALM1
NALM6_CCLE	NALM6	NALM6_CCLE,NALM-6_COSMIC,NALM-6_EGA,NALM-6_GDC		NALM6_CCLE,NALM-6_COSMIC,NALM-6_EGA,NALM-6_GDC	NALM6
NALM-6_COSMIC	NALM6	NALM6_CCLE,NALM-6_COSMIC,NALM-6_EGA,NALM-6_GDC		NALM6_CCLE,NALM-6_COSMIC,NALM-6_EGA,NALM-6_GDC	NALM6
NALM-6_EGA	NALM6	NALM6_CCLE,NALM-6_COSMIC,NALM-6_EGA,NALM-6_GDC		NALM6_CCLE,NALM-6_COSMIC,NALM-6_EGA,NALM-6_GDC	NALM6
NALM-6_GDC	NALM6	NALM6_CCLE,NALM-6_COSMIC,NALM-6_EGA,NALM-6_GDC		NALM6_CCLE,NALM-6_COSMIC,NALM-6_EGA,NALM-6_GDC	NALM6
NAMALWA_CCLE	NAMALWA	NAMALWA_CCLE,NAMALWA_COSMIC,NAMALWA_EGA,NAMALWA_GDC		NAMALWA_CCLE,NAMALWA_COSMIC,NAMALWA_EGA,NAMALWA_GDC	NAMALWA
NAMALWA_COSMIC	NAMALWA	NAMALWA_CCLE,NAMALWA_COSMIC,NAMALWA_EGA,NAMALWA_GDC		NAMALWA_CCLE,NAMALWA_COSMIC,NAMALWA_EGA,NAMALWA_GDC	NAMALWA
NAMALWA_EGA	NAMALWA	NAMALWA_CCLE,NAMALWA_COSMIC,NAMALWA_EGA,NAMALWA_GDC		NAMALWA_CCLE,NAMALWA_COSMIC,NAMALWA_EGA,NAMALWA_GDC	NAMALWA
NAMALWA_GDC	NAMALWA	NAMALWA_CCLE,NAMALWA_COSMIC,NAMALWA_EGA,NAMALWA_GDC		NAMALWA_CCLE,NAMALWA_COSMIC,NAMALWA_EGA,NAMALWA_GDC	NAMALWA
NB10_COSMIC	NB10	NB10_COSMIC		NB10_COSMIC	NB10
NB12_COSMIC	NB12	NB12_COSMIC		NB12_COSMIC	NB12
NB13_COSMIC	NB13	NB13_COSMIC		NB13_COSMIC	NB13
NB14_COSMIC	NB14	NB14_COSMIC		NB14_COSMIC	NB14
NB17_COSMIC	NB17	NB17_COSMIC		NB17_COSMIC	NB17
NB1_CCLE	NB1	NB1_CCLE,NB1_COSMIC,NB-1_GDC		NB1_CCLE,NB1_COSMIC,NB-1_GDC	NB1
NB1_COSMIC	NB1	NB1_CCLE,NB1_COSMIC,NB-1_GDC		NB1_CCLE,NB1_COSMIC,NB-1_GDC	NB1
NB-1_GDC	NB1	NB1_CCLE,NB1_COSMIC,NB-1_GDC		NB1_CCLE,NB1_COSMIC,NB-1_GDC	NB1
NB4_CCLE	NB4	NB4_CCLE,NB-4_COSMIC,NB-4_GDC		NB4_CCLE,NB-4_COSMIC,NB-4_GDC	NB4
NB-4_COSMIC	NB4	NB4_CCLE,NB-4_COSMIC,NB-4_GDC		NB4_CCLE,NB-4_COSMIC,NB-4_GDC	NB4
NB-4_GDC	NB4	NB4_CCLE,NB-4_COSMIC,NB-4_GDC		NB4_CCLE,NB-4_COSMIC,NB-4_GDC	NB4
